number,title,duration,link
088,Die Jakob-Passion (mit Kai Pflaume),93.25,https://baywatch-berlin.podigee.io/91-die-jakob-passion-mit-kai-pflaume
089,Kanye & die Hummelfrieks,88.77,https://baywatch-berlin.podigee.io/92-kanye-die-hummelfrieks
090,"Meeting is over, fuck off.",78.92,https://baywatch-berlin.podigee.io/93-meeting-is-over-fuck-off
091,Getuschel bei der Preisverleihung,84.27,https://baywatch-berlin.podigee.io/94-getuschel-bei-der-preisverleihung
092,Zu asozial für Dr.Beisenherz,76.79,https://baywatch-berlin.podigee.io/95-zu-asozial-fuer-drbeisenherz
093,Angst essen Döner auf,81.34,https://baywatch-berlin.podigee.io/96-angst-essen-doner-auf
094,Reizthema: Zaubertricks,91.05,https://baywatch-berlin.podigee.io/97-reizthema-zaubertricks
095,Squid Games für Kippen-Kevin,84.27,https://baywatch-berlin.podigee.io/98-squid-games-fur-kippen-kevin
096,Kuschelpromi Guido K.,74.05,https://baywatch-berlin.podigee.io/99-kuschelpromi-guido-k
097,Ein Hund namens F.,75.12,https://baywatch-berlin.podigee.io/101-ein-hund-namens-f
098,Creeplord Schmitt & der kleine Drache,79.19,https://baywatch-berlin.podigee.io/102-neue-episode
099,Von der Wettcouch in die Stinkebox,73.28,https://baywatch-berlin.podigee.io/103-neue-episode
